id,source,ref,license,credit,crop,aspect,notes
hist-panel-1-a,commons,search:Kerameikos Demosion Sema Dipylon Athens|Kerameikos|Dipylon|Demosion,,,,3:2,The public cemetery outside the Dipylon Gate where the funeral speeches were given
hist-panel-1-b,met,search:terracotta potter at wheel|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis,,,,3:2,A potter or craftsman at work (the citizen who is also a craftsman); better drawn as the two-part scene in alt_en
hist-panel-1-c,met,search:terracotta warrior departure|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos,,,,3:2,A hoplite setting out (warrior's departure scene)
hist-parthenon,commons,search:Parthenon Athens west facade|Parthenon,,,,3:2,The Parthenon in clear light; any CC BY or CC BY-SA photo
hist-panel-2-a,commons,search:Pnyx Athens speakers platform bema|Pnyx|bema|Bema,,,,3:2,The speaker's platform on the Pnyx
hist-panel-2-b,commons,search:Pnyx hill Athens view Acropolis|Pnyx,,,,3:2,The Assembly place on the Pnyx with the Acropolis behind
hist-panel-2-c,commons,search:Lenormant relief trireme rowers Acropolis Museum|Lenormant|relief,,,,3:2,The Lenormant relief (Acropolis Museum): rowers at their oars
hist-olympias,commons,search:Olympias trireme reconstruction|Olympias,,,,3:2,The reconstructed trireme Olympias under oars or at Faliro
hist-panel-3-a,commons,search:Great Harbour Syracuse Sicily view|Syracuse|Siracusa|harbour|Harbour|Porto,,,,3:2,The Great Harbour of Syracuse where the Athenian fleet was destroyed
hist-panel-3-b,met,search:terracotta horseman javelin|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos,,,,3:2,A mounted javelin-thrower attacking
hist-panel-3-c,commons,search:Asinaro river Sicily|Asinaro|Assinaro|river|River,,,,3:2,The river Asinaro (ancient Assinarus) near Noto; a steep-banked stretch
hist-latomie,commons,search:Latomia del Paradiso Syracuse Ear of Dionysius|Latomia|Orecchio|Ear of Dionysius,,,,3:2,The stone quarries of Syracuse (Latomia del Paradiso)
hist-panel-4-a,commons,search:Dardanelles Hellespont strait view Gallipoli|Dardanelles|Hellespont|Çanakkale,,,,3:2,The Hellespont seen from the European shore
hist-panel-4-b,met,search:bronze shield Greek|shield|Shield,,,,3:2,A bronze-faced hoplite shield (the flashing signal)
hist-panel-4-c,commons,search:trireme model museum|trireme|Trireme|trière,,,,3:2,A trireme model under sail (for the escaping ships)
hist-aspis,met,search:bronze shield Greek hoplite|shield|Shield,,,,1:1,A Greek bronze shield or shield-facing (CC0 Open Access)
hist-athlit-ram,commons,search:Athlit ram Haifa National Maritime Museum|Athlit,,,,3:2,The Athlit bronze ram (Haifa); a Hellenistic warship ram
hist-panel-5-a,commons,search:Long Walls Athens Piraeus remains|Long Walls|Makra Teichi|Long Wall,,,,3:2,Remains of the Long Walls between Athens and Piraeus
hist-panel-5-b,commons,search:Dipylon Gate Kerameikos Athens|Dipylon,,,,3:2,The Dipylon Gate where the envoys returned
hist-panel-5-c,met,search:terracotta aulos player woman|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|psykter,,,,3:2,A woman playing the double pipes (aulos): the flute-girls at the demolition
hist-kerameikos-wall,commons,search:Themistoclean wall Kerameikos Athens|Themistoclean|wall|Wall,,,,3:2,The excavated Themistoclean city wall in the Kerameikos
hist-panel-6-a,commons,search:Bouleuterion Athenian Agora remains|Bouleuterion,,,,3:2,Remains of the Council-house in the Agora
hist-panel-6-b,commons,search:Athenian Agora Tholos Bouleuterion model|Agora|Tholos|model,,,,3:2,Model or reconstruction of the west side of the Agora (Council-house)
hist-panel-6-c,commons,search:Socrates prison Agora Athens house|prison|Prison|desmoterion,,,,3:2,The building identified as the state prison near the Agora
hist-kottabos-kylix,met,search:terracotta kylix symposium kottabos|kylix|Kylix,,,,1:1,A red-figure cup with a symposiast playing kottabos (CC0 Open Access)
hist-panel-7-a,commons,search:Euphrates river plain Iraq|Euphrates,,,,3:2,The flat Euphrates plain north of Babylon
hist-panel-7-b,commons,search:Persepolis relief Persian guards spear|Persepolis,,,,3:2,Persepolis relief of Persian guards (the King's bodyguard)
hist-panel-7-c,met,search:Achaemenid gold akinakes sword|akinakes|dagger|sword|Sword,,,,3:2,A Persian short sword (akinakes) such as Artapates wore
hist-thorax,met,search:bronze cuirass Greek|cuirass|Cuirass|breastplate,,,,1:1,A Greek bronze cuirass (breastplate) (CC0 Open Access)
