id,source,ref,license,credit,crop,aspect,notes
myth-1-a,met,search:terracotta statuette old man seated|statuette|Statuette,,,,3:2,Any seated old man (Boeotian or Attic terracotta); a storyteller figure
myth-1-b,met,search:Rhea Kronos stone pelike Nausicaa Painter|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,3:2,"Met 06.1021.144, Rhea presenting Kronos with the stone (CC0)"
myth-1-c,commons,search:Curetes infant Zeus relief|Curetes|Kouretes|Kureten,,,,3:2,Campana relief of the Kouretes dancing around the baby Zeus
myth-antron,commons,search:Dictaean Cave Psychro Crete|Dictaean|Psychro,,,,1:1,Photo of the Psychro (Dictaean) cave
myth-aspis,met,search:bronze shield Greek hoplite|shield|Shield,,,,1:1,A round bronze hoplite shield
myth-dory,met,search:hoplite spear warrior red-figure|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,1:1,A single warrior holding a spear; crop to the spear
myth-culture-1,commons,search:Omphalos Delphi museum|Omphalos|omphalos,,,,3:2,The Delphi Museum omphalos (Hellenistic/Roman copy)
myth-2-a,commons,search:olive tree Erechtheion Acropolis|olive|Olive,,,,3:2,The olive tree by the Erechtheion / Pandroseion
myth-2-b,commons,search:Kekrops red-figure serpent|Kekrops|Cecrops,,,,3:2,"Kekrops with a snake tail (e.g. the Codrus Painter cup, Berlin F 2537)"
myth-2-c,commons,search:Athena Poseidon contest hydria Pella|Pella|hydria,,,,3:2,"Pella hydria, Archaeological Museum of Pella (CC BY-SA photo)"
myth-triaina,met,search:Poseidon trident|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,1:1,Poseidon with trident; crop to the trident
myth-drakon,met,search:serpent snake terracotta|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,1:1,A large snake on a vase (e.g. guarding a tree)
